FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Wesley,Hoedt,DEF,SOU,5000000,8,49,2.6,5.2E-07,9.8E-06,0,7707,4,27,0,0,0,0,0,9.8,169,0,0,49,0,0.7,0,3.7,5,0,3,0,2,0.1,11244,0,0,0,0,1710,1112,0,0,368,Newcastle,West Ham,Arsenal,Chelsea,Leicester,2,0,2.5,2.2,2.6,1.9,2.1,1.6,2,66.2
Jonathan,Hogg,MID,HUD,4400000,1,35,1.7,3.86363636363636E-07,7.95454545454546E-06,0,33908,5,33,0,0,0,0,0,8,169,-1,0,35,1,0.4,0,1.7,0,0,4,0,0,0.2,42600,0,0,0,0,1630,288,0,1,282,Swansea,Crystal Palace,Newcastle,Brighton,Watford,1.4,1.3,0.8,0.8,1.2,0.8,1.7,0.8,1.5,40.4
Pierre-Emile,H?jbjerg,MID,SOU,4300000,0,23,0.793103448275862,1.84442662389735E-07,5.34883720930233E-06,0,32691,3,16,0,0,0,0,0,5.3,410,-2,0,23,2,0.2,0,0.7,0,0,1,0,0,0.3,32981,0,0,0,0,931,101,0,0,164,Newcastle,West Ham,Arsenal,Chelsea,Leicester,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,39.2
Rob,Holding,DEF,ARS,4400000,0,12,0.413793103448276,9.40438871473354E-08,2.72727272727273E-06,0,108027,2,12,0,0,0,0,0,2.7,256,-6,0,12,6,0,0,0,0,0,1,0,1,0.6,25472,0,0,0,0,443,97,0,0,101,Watford,Stoke,Southampton,Newcastle,West Ham,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,15.4
Jose,Holebas,DEF,WAT,4800000,8,58,2.9,6.04166666666667E-07,1.20833333333333E-05,0,65126,4,31,0,0,0,0,0,12.1,1518,-2,0,58,2,1.1,0,5.3,6,0,5,0,3,0.5,57264,0,0,0,0,1661,313,0,0,321,Arsenal,Liverpool,Bournemouth,Burnley,Huddersfield,0,2.5,2.7,3.2,2.2,4.2,2.3,2.7,2,98.4
Mason,Holgate,DEF,EVE,4100000,0,35,1.20689655172414,2.94365012615643E-07,8.53658536585366E-06,0,183333,3,14,0,0,0,0,0,8.5,3383,-4,0,35,4,0,0,0,0,0,4,0,0,1.6,196982,0,0,0,0,1170,2177,0,0,208,Brighton,Stoke,Man City,Liverpool,Swansea,1,0.6,0.7,0.9,0.6,0.7,0.6,0.8,0.6,48.5
Mark,Hudson,DEF,HUD,4000000,0,0,0,0,0,0,18478,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1252,0,0,0,0,0,6,0,0,0,Swansea,Crystal Palace,Newcastle,Brighton,Watford,0,0,0,0,0,0,0,0,0,0
Callum,Hudson-Odoi,MID,CHE,4500000,0,1,0.0344827586206897,7.66283524904214E-09,2.22222222222222E-07,0,267,0,1,0,0,0,0,0,0.2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,25,16,0,0,8,Crystal Palace,Tottenham,West Ham,Southampton,Huddersfield,0,0,0,0,0,0,0,0,0,3.5
Will,Hughes,MID,WAT,4600000,4,30,1.03448275862069,2.24887556221889E-07,6.52173913043478E-06,0,73911,0,6,0,0,0,2,0,6.5,110,-4,0,30,4,0.3,0,1.3,3,0,2,0,2,0.2,65933,0,0,0,1,347,1055,0,0,106,Arsenal,Liverpool,Bournemouth,Burnley,Huddersfield,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.9
Jordan,Hugill,FWD,WHU,5200000,0,2,0.0689655172413793,1.3262599469496E-08,3.84615384615385E-07,0,993,0,0,0,0,0,0,0,0.4,112,-3,1,2,3,0.1,0,0.3,0,0,0,0,0,0,1640,0,0,0,0,12,23,-1,0,5,Burnley,Southampton,Chelsea,Stoke,Arsenal,0,0,0,0,0,0,0,0,0,0
Uwe,Hunemeier,DEF,BHA,3900000,0,1,0.0344827586206897,8.84173297966401E-09,2.56410256410256E-07,0,389980,0,1,0,0,0,0,0,0.3,2235,-1,0,1,1,0,0,0,0,0,0,0,0,5.3,328926,0,0,0,0,17,1711,0,0,5,Everton,Leicester,Huddersfield,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0.9
Robert,Huth,DEF,LEI,4800000,0,0,0,0,0,0,5263,0,0,0,0,0,0,0,0,70,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1961,0,0,0,0,0,50,0,0,0,West Brom,Brighton,Newcastle,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0
Emerson,Hyndman,MID,BOU,4500000,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,6,0,0,0,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,MID,BOU,4800000,0,67,2.7,5.625E-07,1.39583333333333E-05,0,101985,1,25,0,0,0,1,0,14,13515,-2,1,67,2,0.1,0,0.3,2,0,4,0,6,1.5,160321,0,0,0,0,1581,96,-1,0,233,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,0,2.9,1.8,2.4,1.4,2.1,2.1,2.6,2,129.6
